Map_ID,Initiative_ID,Initiative_Name,Factor_ID,Card_ID,Factor_Bank,Requirement_Set_ID,Calculation_Role,Application_Mode,Selection_Group_ID,Mapping_Status,Mapping_Lifecycle_Status,Mapping_Rationale,Version,Last_Reviewed,Source_Row
MAP-0017,INIT-0005,Install timer controls across eligible equipment,CCF-0005,CARD-0017,Cost Factors,CRS-0017,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0005,ACTIVE,ACTIVE,Catalog cost value-card slot for Install timer controls across eligible equipment.,1.0,2026-08-18,6
MAP-0018,INIT-0005,Install timer controls across eligible equipment,CPF-0005,CARD-0018,Carbon Factors,CRS-0018,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0005,ACTIVE,ACTIVE,Catalog carbon value-card slot for Install timer controls across eligible equipment.,1.0,2026-08-18,6
MAP-0019,INIT-0005,Install timer controls across eligible equipment,CTF-0005,CARD-0019,Timing Factors,CRS-0019,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0005,ACTIVE,ACTIVE,Catalog timing value-card slot for Install timer controls across eligible equipment.,1.0,2026-08-18,6
MAP-0020,INIT-0005,Install timer controls across eligible equipment,CEF-0005,CARD-0020,Efficiency Factors,CRS-0020,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0005,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Install timer controls across eligible equipment.,1.0,2026-08-18,6
MAP-0021,INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",CCF-0006,CARD-0021,Cost Factors,CRS-0021,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0006,ACTIVE,ACTIVE,"Catalog cost value-card slot for Optimise fans and pumps with variable-speed drives, efficient motors and demand controls.",1.0,2026-08-18,7
MAP-0022,INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",CPF-0006,CARD-0022,Carbon Factors,CRS-0022,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0006,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Optimise fans and pumps with variable-speed drives, efficient motors and demand controls.",1.0,2026-08-18,7
MAP-0023,INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",CTF-0006,CARD-0023,Timing Factors,CRS-0023,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0006,ACTIVE,ACTIVE,"Catalog timing value-card slot for Optimise fans and pumps with variable-speed drives, efficient motors and demand controls.",1.0,2026-08-18,7
MAP-0024,INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",CEF-0006,CARD-0024,Efficiency Factors,CRS-0024,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0006,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Optimise fans and pumps with variable-speed drives, efficient motors and demand controls.",1.0,2026-08-18,7
MAP-0025,INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",CCF-0007,CARD-0025,Cost Factors,CRS-0025,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0007,ACTIVE,ACTIVE,"Catalog cost value-card slot for Recover and reuse waste heat from refrigeration, cooking or wastewater.",1.0,2026-08-18,8
MAP-0026,INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",CPF-0007,CARD-0026,Carbon Factors,CRS-0026,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0007,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Recover and reuse waste heat from refrigeration, cooking or wastewater.",1.0,2026-08-18,8
MAP-0027,INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",CTF-0007,CARD-0027,Timing Factors,CRS-0027,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0007,ACTIVE,ACTIVE,"Catalog timing value-card slot for Recover and reuse waste heat from refrigeration, cooking or wastewater.",1.0,2026-08-18,8
MAP-0028,INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",CEF-0007,CARD-0028,Efficiency Factors,CRS-0028,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0007,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Recover and reuse waste heat from refrigeration, cooking or wastewater.",1.0,2026-08-18,8
MAP-0029,INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,CCF-0008,CARD-0029,Cost Factors,CRS-0029,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0008,ACTIVE,ACTIVE,Catalog cost value-card slot for Upgrade boiler burner controls and balance heat-distribution systems.,1.0,2026-08-18,9
MAP-0030,INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,CPF-0008,CARD-0030,Carbon Factors,CRS-0030,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0008,ACTIVE,ACTIVE,Catalog carbon value-card slot for Upgrade boiler burner controls and balance heat-distribution systems.,1.0,2026-08-18,9
MAP-0031,INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,CTF-0008,CARD-0031,Timing Factors,CRS-0031,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0008,ACTIVE,ACTIVE,Catalog timing value-card slot for Upgrade boiler burner controls and balance heat-distribution systems.,1.0,2026-08-18,9
MAP-0032,INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,CEF-0008,CARD-0032,Efficiency Factors,CRS-0032,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0008,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Upgrade boiler burner controls and balance heat-distribution systems.,1.0,2026-08-18,9
MAP-0033,INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",CCF-0009,CARD-0033,Cost Factors,CRS-0033,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0009,ACTIVE,ACTIVE,"Catalog cost value-card slot for Upgrade domestic hot-water generation, storage and circulation controls.",1.0,2026-08-18,10
MAP-0034,INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",CPF-0009,CARD-0034,Carbon Factors,CRS-0034,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0009,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Upgrade domestic hot-water generation, storage and circulation controls.",1.0,2026-08-18,10
MAP-0035,INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",CTF-0009,CARD-0035,Timing Factors,CRS-0035,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0009,ACTIVE,ACTIVE,"Catalog timing value-card slot for Upgrade domestic hot-water generation, storage and circulation controls.",1.0,2026-08-18,10
MAP-0036,INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",CEF-0009,CARD-0036,Efficiency Factors,CRS-0036,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0009,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Upgrade domestic hot-water generation, storage and circulation controls.",1.0,2026-08-18,10
MAP-0037,INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",CCF-0010,CARD-0037,Cost Factors,CRS-0037,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0010,ACTIVE,ACTIVE,"Catalog cost value-card slot for Automate shutdown of non-HVAC, non-lighting equipment outside operating hours.",1.0,2026-08-18,11
MAP-0038,INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",CPF-0010,CARD-0038,Carbon Factors,CRS-0038,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0010,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Automate shutdown of non-HVAC, non-lighting equipment outside operating hours.",1.0,2026-08-18,11
MAP-0039,INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",CTF-0010,CARD-0039,Timing Factors,CRS-0039,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0010,ACTIVE,ACTIVE,"Catalog timing value-card slot for Automate shutdown of non-HVAC, non-lighting equipment outside operating hours.",1.0,2026-08-18,11
MAP-0040,INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",CEF-0010,CARD-0040,Efficiency Factors,CRS-0040,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0010,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Automate shutdown of non-HVAC, non-lighting equipment outside operating hours.",1.0,2026-08-18,11
MAP-0041,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CCF-0011,CARD-0041,Cost Factors,CRS-0041,EMPTY_SLOT,DISPLAY,SG-INIT-0011,ACTIVE,ACTIVE,"Catalog cost value-card slot for Implement power management for small-power, IT and server-room equipment.",1.0,2026-08-18,12
MAP-0042,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CPF-0011,CARD-0042,Carbon Factors,CRS-0042,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0011,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Implement power management for small-power, IT and server-room equipment.",1.0,2026-08-18,12
MAP-0043,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CTF-0011,CARD-0043,Timing Factors,CRS-0043,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0011,ACTIVE,ACTIVE,"Catalog timing value-card slot for Implement power management for small-power, IT and server-room equipment.",1.0,2026-08-18,12
MAP-0044,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CEF-0011,CARD-0044,Efficiency Factors,CRS-0044,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0011,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Implement power management for small-power, IT and server-room equipment.",1.0,2026-08-18,12
MAP-0045,INIT-0012,Upgrade lift and escalator drives and controls,CCF-0012,CARD-0045,Cost Factors,CRS-0045,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0012,ACTIVE,ACTIVE,Catalog cost value-card slot for Upgrade lift and escalator drives and controls.,1.0,2026-08-18,13
MAP-0046,INIT-0012,Upgrade lift and escalator drives and controls,CPF-0012,CARD-0046,Carbon Factors,CRS-0046,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0012,ACTIVE,ACTIVE,Catalog carbon value-card slot for Upgrade lift and escalator drives and controls.,1.0,2026-08-18,13
MAP-0047,INIT-0012,Upgrade lift and escalator drives and controls,CTF-0012,CARD-0047,Timing Factors,CRS-0047,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0012,ACTIVE,ACTIVE,Catalog timing value-card slot for Upgrade lift and escalator drives and controls.,1.0,2026-08-18,13
MAP-0048,INIT-0012,Upgrade lift and escalator drives and controls,CEF-0012,CARD-0048,Efficiency Factors,CRS-0048,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0012,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Upgrade lift and escalator drives and controls.,1.0,2026-08-18,13
MAP-0049,INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",CCF-0013,CARD-0049,Cost Factors,CRS-0049,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0013,ACTIVE,ACTIVE,"Catalog cost value-card slot for Optimise swimming-pool circulation, heating, covers and backwashing.",1.0,2026-08-18,14
MAP-0050,INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",CPF-0013,CARD-0050,Carbon Factors,CRS-0050,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0013,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Optimise swimming-pool circulation, heating, covers and backwashing.",1.0,2026-08-18,14
MAP-0051,INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",CTF-0013,CARD-0051,Timing Factors,CRS-0051,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0013,ACTIVE,ACTIVE,"Catalog timing value-card slot for Optimise swimming-pool circulation, heating, covers and backwashing.",1.0,2026-08-18,14
MAP-0052,INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",CEF-0013,CARD-0052,Efficiency Factors,CRS-0052,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0013,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Optimise swimming-pool circulation, heating, covers and backwashing.",1.0,2026-08-18,14
MAP-0053,INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,CCF-0014,CARD-0053,Cost Factors,CRS-0053,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0014,ACTIVE,ACTIVE,Catalog cost value-card slot for Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention.,1.0,2026-08-18,15
MAP-0054,INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,CPF-0014,CARD-0054,Carbon Factors,CRS-0054,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0014,ACTIVE,ACTIVE,Catalog carbon value-card slot for Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention.,1.0,2026-08-18,15
MAP-0055,INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,CTF-0014,CARD-0055,Timing Factors,CRS-0055,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0014,ACTIVE,ACTIVE,Catalog timing value-card slot for Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention.,1.0,2026-08-18,15
MAP-0056,INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,CEF-0014,CARD-0056,Efficiency Factors,CRS-0056,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0014,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention.,1.0,2026-08-18,15
MAP-0057,INIT-0015,Install refrigerant leak detection and implement rapid repair,CCF-0015,CARD-0057,Cost Factors,CRS-0057,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0015,ACTIVE,ACTIVE,Catalog cost value-card slot for Install refrigerant leak detection and implement rapid repair.,1.0,2026-08-18,16
MAP-0058,INIT-0015,Install refrigerant leak detection and implement rapid repair,CPF-0015,CARD-0058,Carbon Factors,CRS-0058,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0015,ACTIVE,ACTIVE,Catalog carbon value-card slot for Install refrigerant leak detection and implement rapid repair.,1.0,2026-08-18,16
MAP-0059,INIT-0015,Install refrigerant leak detection and implement rapid repair,CTF-0015,CARD-0059,Timing Factors,CRS-0059,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0015,ACTIVE,ACTIVE,Catalog timing value-card slot for Install refrigerant leak detection and implement rapid repair.,1.0,2026-08-18,16
MAP-0060,INIT-0015,Install refrigerant leak detection and implement rapid repair,CEF-0015,CARD-0060,Efficiency Factors,CRS-0060,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0015,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Install refrigerant leak detection and implement rapid repair.,1.0,2026-08-18,16
MAP-0061,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CCF-0016,CARD-0061,Cost Factors,CRS-0061,EMPTY_SLOT,DISPLAY,SG-INIT-0016,ACTIVE,ACTIVE,Catalog cost value-card slot for Maintain a governed refrigerant inventory and leakage record.,1.0,2026-08-18,17
MAP-0062,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CPF-0016,CARD-0062,Carbon Factors,CRS-0062,EMPTY_SLOT,DISPLAY,SG-INIT-0016,ACTIVE,ACTIVE,Catalog carbon value-card slot for Maintain a governed refrigerant inventory and leakage record.,1.0,2026-08-18,17
MAP-0063,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CTF-0016,CARD-0063,Timing Factors,CRS-0063,EMPTY_SLOT,DISPLAY,SG-INIT-0016,ACTIVE,ACTIVE,Catalog timing value-card slot for Maintain a governed refrigerant inventory and leakage record.,1.0,2026-08-18,17
MAP-0064,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CEF-0016,CARD-0064,Efficiency Factors,CRS-0064,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0016,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Maintain a governed refrigerant inventory and leakage record.,1.0,2026-08-18,17
MAP-0065,INIT-0017,Recover refrigerants at equipment end of life and document transfer,CCF-0017,CARD-0065,Cost Factors,CRS-0065,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0017,ACTIVE,ACTIVE,Catalog cost value-card slot for Recover refrigerants at equipment end of life and document transfer.,1.0,2026-08-18,18
MAP-0066,INIT-0017,Recover refrigerants at equipment end of life and document transfer,CPF-0017,CARD-0066,Carbon Factors,CRS-0066,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0017,ACTIVE,ACTIVE,Catalog carbon value-card slot for Recover refrigerants at equipment end of life and document transfer.,1.0,2026-08-18,18
MAP-0067,INIT-0017,Recover refrigerants at equipment end of life and document transfer,CTF-0017,CARD-0067,Timing Factors,CRS-0067,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0017,ACTIVE,ACTIVE,Catalog timing value-card slot for Recover refrigerants at equipment end of life and document transfer.,1.0,2026-08-18,18
MAP-0068,INIT-0017,Recover refrigerants at equipment end of life and document transfer,CEF-0017,CARD-0068,Efficiency Factors,CRS-0068,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0017,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Recover refrigerants at equipment end of life and document transfer.,1.0,2026-08-18,18
MAP-0069,INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",CCF-0018,CARD-0069,Cost Factors,CRS-0069,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0018,ACTIVE,ACTIVE,"Catalog cost value-card slot for Upgrade refrigeration equipment, doors, seals, fans and controls.",1.0,2026-08-18,19
MAP-0070,INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",CPF-0018,CARD-0070,Carbon Factors,CRS-0070,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0018,ACTIVE,ACTIVE,"Catalog carbon value-card slot for Upgrade refrigeration equipment, doors, seals, fans and controls.",1.0,2026-08-18,19
MAP-0071,INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",CTF-0018,CARD-0071,Timing Factors,CRS-0071,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0018,ACTIVE,ACTIVE,"Catalog timing value-card slot for Upgrade refrigeration equipment, doors, seals, fans and controls.",1.0,2026-08-18,19
MAP-0072,INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",CEF-0018,CARD-0072,Efficiency Factors,CRS-0072,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0018,ACTIVE,ACTIVE,"Catalog efficiency value-card slot for Upgrade refrigeration equipment, doors, seals, fans and controls.",1.0,2026-08-18,19
MAP-0073,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CCF-0019,CARD-0073,Cost Factors,CRS-0073,EMPTY_SLOT,DISPLAY,SG-INIT-0019,ACTIVE,ACTIVE,Catalog cost value-card slot for Adopt a validated warmer freezer setpoint where product and food-safety rules allow.,1.0,2026-08-18,20
MAP-0074,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CPF-0019,CARD-0074,Carbon Factors,CRS-0074,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0019,ACTIVE,ACTIVE,Catalog carbon value-card slot for Adopt a validated warmer freezer setpoint where product and food-safety rules allow.,1.0,2026-08-18,20
MAP-0075,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CTF-0019,CARD-0075,Timing Factors,CRS-0075,EMPTY_SLOT,DISPLAY,SG-INIT-0019,ACTIVE,ACTIVE,Catalog timing value-card slot for Adopt a validated warmer freezer setpoint where product and food-safety rules allow.,1.0,2026-08-18,20
MAP-0076,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CEF-0019,CARD-0076,Efficiency Factors,CRS-0076,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0019,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Adopt a validated warmer freezer setpoint where product and food-safety rules allow.,1.0,2026-08-18,20
MAP-0077,INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,CCF-0020,CARD-0077,Cost Factors,CRS-0077,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0020,ACTIVE,ACTIVE,Catalog cost value-card slot for Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating.,1.0,2026-08-18,21
MAP-0078,INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,CPF-0020,CARD-0078,Carbon Factors,CRS-0078,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0020,ACTIVE,ACTIVE,Catalog carbon value-card slot for Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating.,1.0,2026-08-18,21
MAP-0079,INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,CTF-0020,CARD-0079,Timing Factors,CRS-0079,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0020,ACTIVE,ACTIVE,Catalog timing value-card slot for Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating.,1.0,2026-08-18,21
MAP-0080,INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,CEF-0020,CARD-0080,Efficiency Factors,CRS-0080,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0020,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating.,1.0,2026-08-18,21
MAP-0081,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CCF-0021,CARD-0081,Cost Factors,CRS-0081,EMPTY_SLOT,DISPLAY,SG-INIT-0021,ACTIVE,ACTIVE,Catalog cost value-card slot for Conduct whole-life carbon assessments for major capital projects.,1.0,2026-08-18,22
MAP-0082,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CPF-0021,CARD-0082,Carbon Factors,CRS-0082,EMPTY_SLOT,DISPLAY,SG-INIT-0021,ACTIVE,ACTIVE,Catalog carbon value-card slot for Conduct whole-life carbon assessments for major capital projects.,1.0,2026-08-18,22
MAP-0083,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CTF-0021,CARD-0083,Timing Factors,CRS-0083,EMPTY_SLOT,DISPLAY,SG-INIT-0021,ACTIVE,ACTIVE,Catalog timing value-card slot for Conduct whole-life carbon assessments for major capital projects.,1.0,2026-08-18,22
MAP-0084,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CEF-0021,CARD-0084,Efficiency Factors,CRS-0084,PRIMARY_DISPLAY,DISPLAY,SG-INIT-0021,ACTIVE,ACTIVE,Catalog efficiency value-card slot for Conduct whole-life carbon assessments for major capital projects.,1.0,2026-08-18,22
MAP-0085,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CCF-0022,CARD-0085,Cost Factors,CRS-0085,EMPTY_SLOT,DISPLAY,SG-INIT-0022,ACTIVE,ACTIVE,Catalog cost value-card slot for Set operational-energy and embodied-carbon targets for new construction and major refurbishment.,1.0,2026-08-18,23
